"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 18 20:00:05 UTC 2025","Fri Jul 18 20:00:08 UTC 2025","2610","Autenticação","Recuperação de Senha","","","","deve permitir redefinição de senha com token válido","Este teste verifica se um usuário consegue redifinir com sucesso sua senha."
"passed","Fri Jul 18 20:46:09 UTC 2025","Fri Jul 18 20:46:09 UTC 2025","2","Cadastro de Usuário","Cadastro de Usuário - Campos Obrigatórios","","","","deve retornar 400 se o campo 'city' estiver faltando",""
"passed","Fri Jul 18 20:46:09 UTC 2025","Fri Jul 18 20:46:09 UTC 2025","2","API Routes - Method Not Allowed","","","","","deve retornar 405 para GET em /api/favorites/1",""
"passed","Fri Jul 18 20:46:09 UTC 2025","Fri Jul 18 20:46:09 UTC 2025","1","API Routes - Method Not Allowed","","","","","deve retornar 405 para PUT em /api/users/login",""
"passed","Fri Jul 18 20:46:09 UTC 2025","Fri Jul 18 20:46:09 UTC 2025","2","Autenticação","Password Recovery","","","","deve retornar uma mensagem genérica ao solicitar recuperação de senha","Este teste verifica se um usuário recebe uma mensagem genérica ao solicitar redefinição de senha."
"passed","Fri Jul 18 20:00:02 UTC 2025","Fri Jul 18 20:00:05 UTC 2025","3079","Autenticação","Recuperação de Senha","","","","deve retornar uma mensagem genérica ao solicitar recuperação de senha","Este teste verifica se um usuário recebe uma mensagem genérica ao solicitar redefinição de senha."
"passed","Fri Jul 18 20:46:09 UTC 2025","Fri Jul 18 20:46:09 UTC 2025","2","API Routes - Method Not Allowed","","","","","deve retornar 405 para DELETE em /api/products",""
"passed","Fri Jul 18 20:46:09 UTC 2025","Fri Jul 18 20:46:09 UTC 2025","2","Autenticação","User Login - Dados inválidos","","","","deve retornar 400 quando 'password' não for enviado","Este teste verifica a obrigatoriedade do campo password quando submetido ao login."
"passed","Fri Jul 18 20:46:09 UTC 2025","Fri Jul 18 20:46:09 UTC 2025","2","API Routes - Method Not Allowed","","","","","deve retornar 405 para GET em /api/categories/1",""
"passed","Fri Jul 18 20:46:09 UTC 2025","Fri Jul 18 20:46:09 UTC 2025","61","Autenticação","User Login - Dados inválidos","","","","deve rejeitar login com senha incorreta","Este teste verifica se um usuário com credenciais inválidas consegue se autenticar e receber um token JWT."
"passed","Fri Jul 18 20:46:09 UTC 2025","Fri Jul 18 20:46:09 UTC 2025","2","API Routes - Method Not Allowed","","","","","deve retornar 405 para PUT em /api/categories",""
"passed","Fri Jul 18 20:46:09 UTC 2025","Fri Jul 18 20:46:09 UTC 2025","2","API Routes - Method Not Allowed","","","","","deve retornar 405 para DELETE em /api/users/register",""
"passed","Fri Jul 18 20:46:09 UTC 2025","Fri Jul 18 20:46:09 UTC 2025","1","API Routes - Method Not Allowed","","","","","deve retornar 405 para POST em /api/products/1",""
"passed","Fri Jul 18 20:46:09 UTC 2025","Fri Jul 18 20:46:09 UTC 2025","1","API Routes - Method Not Allowed","","","","","deve retornar 405 para DELETE em /api/users/login",""
